Articolo,DESCRIZIONE,Prezzo,Stato ProFAR. DOTto
0612.01,DEVIATORE DECENTRATORE,  3.00 ,3
0612.02,DEVIATORE DECENTRATORE,  3.00 ,3
0613/3.01,ROSONE LINEARE X 3 SOSP. 230V,  117.00 ,3
0613/3.02,ROSONE LINEARE X 3 SOSP. 230V,  145.00 ,3
0613/3.35,ROSONE LINEARE X 3 SOSP. 230V,  145.00 ,3
0613/4.01,ROSONE LINEARE X 4 SOSP. 230V,  145.00 ,3
0613/4.02,ROSONE LINEARE X 4 SOSP. 230V,  179.00 ,3
0613/4.35,ROSONE LINEARE X 4 SOSP. 230V,  179.00 ,3
0613/6.01,ROSONE LINEARE X 6 SOSP. 230V,  175.00 ,3
0613/6.02,ROSONE LINEARE X 6 SOSP. 230V,  220.00 ,3
0613/6.35,ROSONE LINEARE X 6 SOSP. 230V,  220.00 ,3
0614/1.01,ROSONE TONDO X 1 TULIPANO,  52.00 ,3
0614/1.02,ROSONE TONDO X 1 TULIPANO,  52.00 ,3
0614/2.01,ROSONE TONDO X 2 TULIPANO,  76.00 ,3
0614/2.02,ROSONE TONDO X 2 TULIPANO,  76.00 ,3
0614/4.01,ROSONE TONDO X 4 TULIPANO,  160.00 ,3
0614/4.02,ROSONE TONDO X 4 TULIPANO,  160.00 ,3
0614/6.01,ROSONE TONDO X 6 TULIPANO,  194.00 ,3
0614/6.02,ROSONE TONDO X 6 TULIPANO,  194.00 ,3
0614/9.01,ROSONE TONDO X 9 TULIPANO,  225.00 ,3
0614/9.02,ROSONE TONDO X 9 TULIPANO,  225.00 ,3
0614/R.01,ROS. INCASSO C/ALIM. TULIPANO,  59.00 ,3
0614/R.02,ROS. INCASSO C/ALIM. TULIPANO,  59.00 ,3
0615/12.01,ROSONE RADIALE X 12 TULIPANO,  299.00 ,3
0615/12.02,ROSONE RADIALE X 12 TULIPANO,  299.00 ,3
0615/6.01,ROSONE RADIALE X 6 TULIPANO,  229.00 ,3
0615/6.02,ROSONE RADIALE X 6 TULIPANO,  229.00 ,3
0616/4.01,ROSONE LINEARE X 4 TULIPANO,  195.00 ,3
0616/4.02,ROSONE LINEARE X 4 TULIPANO,  195.00 ,3
